id,codes
1,BKW
2,DAL
3,GLH
4,MKG
5,MOB
6,BRO
7,FOE
8,ALM
9,AND
10,ACT
11,PWM
12,SJT
13,LGU
14,CAK
15,HII
16,PUC
17,ITO
18,BNA
19,ILM
20,SBN
21,AOO
22,DVT
23,NKX
24,PVU
25,PIH
26,IPL
27,SKY
28,MKC
29,PDK
30,JHW
31,BTL
32,LEX
33,HVN
34,DDC
35,DEC
36,MQT
37,SDM
38,OKK
39,JAN
40,MSN
41,POU
42,SJC
43,AUS
44,JXN
45,IAB
46,LAM
47,CHO
48,SHD
49,FDY
50,OLS
51,GNV
52,EDF
53,EAT
54,ISM
55,BWI
56,DRT
57,PGD
58,ALW
59,MSY
60,PIT
61,BAD
62,AST
63,AZA
64,SBY
65,SAF
66,AUO
67,TCL
68,MWC
69,DSM
70,FFO
71,PWK
72,PBG
73,HVR
74,EIL
75,OGD
76,DET
77,TIK
78,SAN
79,CDC
80,BZN
81,GRK
82,AFW
83,STC
84,PIB
85,ACV
86,VAD
87,ISO
88,ABQ
89,MCF
90,UKI
91,LSE
92,RKS
93,TBN
94,MHR
95,YIP
96,ABE
97,MIA
98,JAC
99,PGV
100,BIL
101,RST
102,RAC
103,BHM
104,SAV
105,CMI
106,OWB
107,VIS
108,ERI
109,ESN
110,ABI
111,FNT
112,GCK
113,MYR
114,LUF
115,RDD
116,LCK
117,HOT
118,PNE
119,RCA
120,LAR
121,CWA
122,HKY
123,AVL
124,TYS
125,DFW
126,RKD
127,BGM
128,GUP
129,PDT
130,SMF
131,LMT
132,SAC
133,AVP
134,PNS
135,STL
136,GJT
137,ROA
138,ROW
139,TLH
140,ORD
141,RIW
142,NQA
143,AMA
144,LRD
145,SLC
146,EAU
147,ELD
148,MDT
149,OAK
150,HGR
151,TWF
152,LTS
153,OGG
154,PDX
155,FBK
156,OMA
157,LAL
158,LWC
159,BTV
160,ABR
161,GFK
162,UIN
163,BIF
164,EVV
165,PFN
166,SEA
167,SFO
168,ELM
169,CAE
170,YNG
171,GCC
172,BRL
173,SAT
174,AGC
175,PAH
176,HSV
177,RNO
178,CGI
179,CPR
180,FAY
181,DTW
182,HMN
183,MKL
184,TUP
185,LBF
186,BTR
187,APN
188,MCC
189,SKA
190,GGG
191,CEC
192,MOD
193,BMI
194,RWI
195,PAM
196,MAE
197,BFD
198,YKM
199,COU
200,GSP
201,SNS
202,STE
203,FLO
204,DCA
205,RDG
206,NBG
207,LAN
208,CMH
209,LBB
210,CHS
211,SUX
212,BUF
213,SEE
214,OAJ
215,CSG
216,TYR
217,SKF
218,TVC
219,IND
220,FLL
221,ACY
222,MAF
223,ANC
224,SNA
225,NJK
226,MIB
227,OPF
228,GRR
229,UVA
230,LAX
231,SSC
232,BPT
233,HOU
234,OFK
235,MCI
236,BIS
237,IPT
238,MGY
239,NEW
240,CID
241,ARA
242,TUS
243,LRU
244,TTN
245,SZL
246,LUK
247,ILN
248,HRO
249,BGR
250,PVD
251,OSH
252,MHK
253,JFK
254,GSB
255,IDA
256,KTN
257,ORH
258,BRD
259,EFD
260,IMT
261,CLE
262,DBQ
263,VEL
264,CVG
265,ATW
266,SLN
267,STS
268,JLN
269,MTJ
270,FAT
271,ORL
272,HLG
273,MEM
274,MDH
275,MOT
276,FCA
277,MIE
278,CLL
279,OGS
280,CRW
281,PUB
282,RIV
283,BDR
284,BDL
285,MKE
286,MFD
287,MFR
288,EUG
289,GYY
290,WRB
291,CSV
292,HIF
293,LAW
294,NPA
295,ILG
296,SCE
297,PIR
298,PRC
299,APF
300,CIC
301,BFI
302,OKC
303,HLN
304,BKL
305,JEF
306,MHT
307,CHA
308,LFT
309,TMB
310,PHL
311,FTW
312,ATY
313,CYS
314,STP
315,MCN
316,ROC
317,ITH
318,FMN
319,GRI
320,CVN
321,RUT
322,OXR
323,DLH
324,ABY
325,APC
326,MWH
327,BLI
328,SPI
329,CLU
330,VCT
331,EWN
332,MCE
333,JST
334,ESC
335,AZO
336,SHV
337,MSO
338,MDW
339,NZY
340,FSD
341,SGU
342,GPT
343,IRK
344,HON
345,MLU
346,MTN
347,RAP
348,GRB
349,ELP
350,SVN
351,PBI
352,TPA
353,MCO
354,HNL
355,AUG
356,TCM
357,VLD
358,LSV
359,MEI
360,OLM
361,HSH
362,AEX
363,MGW
364,EYW
365,FWA
366,RFD
367,LIT
368,SFB
369,POB
370,EKA
371,MUO
372,DPA
373,AHN
374,ATL
375,CNM
376,SPS
377,BFF
378,FLG
379,PHX
380,ADQ
381,LAS
382,YUM
383,FFT
384,OFF
385,JAX
386,LNS
387,RDM
388,BFM
389,AGS
390,MBS
391,SFF
392,COS
393,MGM
394,SUS
395,FYV
396,FAR
397,EKO
398,PWT
399,FOD
400,SBP
401,ART
402,BTM
403,FAI
404,CVO
405,GSO
406,LGD
407,BIH
408,PKB
409,SOW
410,HOB
411,BOS
412,JMS
413,ADM
414,MSP
415,CBE
416,LGA
417,LYH
418,ADS
419,DIK
420,BYH
421,NQX
422,OCF
423,DOV
424,DHN
425,LWS
426,TIW
427,TUL
428,ALO
429,HUF
430,CLM
431,DAY
432,PUW
433,ISN
434,LBL
435,CLT
436,SGF
437,LSF
438,BWG
439,BJI
440,CKB
441,GTF
442,ANB
443,JBR
444,FTY
445,BMG
446,SLE
447,DRO
448,EWR
449,IAD
450,GTR
451,RDU
452,MCW
453,LCH
454,JNU
455,SBA
456,FCM
457,BFL
458,FSM
459,LAF
460,STJ
461,ICT
462,MRI
463,GUS
464,VGT
465,CRP
466,LNK
467,GEG
468,DMA
469,BQK
470,SHR
471,PIA
472,MWA
473,AXN
474,XNA
475,SCK
476,ALB
477,TOL
478,RIC
479,IAH
480,DYS
481,FXE
482,HYS
483,SYR
